condition,fixed_face_detection_rate,fixed_face_brightness_mean,fixed_face_brightness_std,fixed_face_brightness_range,fixed_face_flicker_score,fixed_face_contrast_mean,fixed_face_blur_score_mean,fixed_face_blur_score_min,fixed_face_saturation_ratio_mean,fixed_face_temporal_instability_mean,fixed_face_temporal_instability_max
clean,0.8359333333333333,79.21683333333333,2.9073333333333333,17.7959,2.9073333333333333,46.354899999999994,41.88646666666667,26.44875,0.010952000000000002,8.425566666666667,25.2349
ghosting_whole,0.8359333333333333,79.26981666666667,2.912383333333333,17.819433333333333,2.912383333333333,46.296150000000004,39.57848333333333,22.499466666666667,0.010803833333333334,8.392683333333332,25.0337
light_flicker_background,0.8359333333333333,80.12273333333333,2.9089333333333336,17.81573333333333,2.9089333333333336,46.967533333333336,42.70246666666666,26.987899999999996,0.010710166666666666,8.501316666666666,25.567733333333333
light_flicker_face,0.8359333333333333,81.6207,12.25365,49.53903333333333,12.25365,48.280116666666665,46.07568333333334,22.55255,0.014538333333333334,17.87735,44.81198333333333
light_flicker_whole,0.8359333333333333,83.67773333333334,13.202966666666667,54.38645,13.202966666666667,48.85063333333333,44.69316666666666,19.7455,0.013728333333333334,18.659266666666667,47.11416666666667
mixed_whole,0.8359333333333333,81.93378333333332,7.7548666666666675,33.49555,7.7548666666666675,47.2001,28.742566666666665,12.268033333333333,0.010292833333333333,12.956183333333334,33.0366
motion_blur_background,0.8359333333333333,79.24333333333334,2.9057833333333334,17.79535,2.9057833333333334,46.301066666666664,41.56218333333333,26.260233333333332,0.010833500000000001,8.418416666666667,25.2223
motion_blur_face,0.8359333333333333,79.24163333333333,2.90475,17.805600000000002,2.90475,45.32475,27.433983333333334,12.846783333333335,0.0097295,7.927233333333334,24.597233333333335
motion_blur_whole,0.8359333333333333,79.26616666666666,2.9013500000000003,17.8014,2.9013500000000003,45.19906666666666,25.8967,11.8902,0.008779333333333333,7.868333333333333,24.558900000000005
